CÓDIGO EUROPEO,LEI,NOMBRE,CATEGORÍA,DIRECCIÓN,INFORME,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES0237,95980020140005488243,"Cajasur Banco, S.A.",Entidad de crédito,"AV. GRAN CAPITÁN, 11-13, 14008, CÓRDOBA",Sí,,"0237"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES8844,959800M67HXN2210X662,"CASTELO CAPITAL EFC SA",Otra institución,"AVDA DIEGO MARTÍNEZ BARRIO, 4, 41013, SEVILLA",No,,"8844"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES4706,5493004NQTR1T23T4Z68,"Caterpillar Financial Corporación Financiera, S.A., E.F.C.",Otra institución,"VÍA DE LAS DOS CASTILLAS, 33, 28224, POZUELO DE ALARCON",No,,"4706"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES0234,95980020140005772841,"CBNK BANCO DE COLECTIVOS, S.A.",Entidad de crédito,"CL ALMAGRO, 8, 28010, MADRID",Sí,,"0234"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES2000,549300CQ9NLEHMRCU505,"Cecabank, S.A.",Entidad de crédito,"Cl Alcalá,27, 28014, Madrid",Sí,,"2000"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1553,,"China Construction Bank (Europe), S.A., Sucursal en España",Entidad de crédito,"Av. Diagonal, 640, 08017, Barcelona",No,LUB00375,"1553"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES1474,,"Citibank Europe Plc, Sucursal en España",Entidad de crédito,"ORTEGA Y GASSET 29, 28006, MADRID",No,IECITIFS,"1474"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES1499,,"Claas Financial Services, S.A.S., Sucursal en España",Entidad de crédito,"PS DE LOS MELANCÓLICOS, 14, 28005, MADRID",No,FR14218,"1499"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES1546,,"CNH Industrial Capital Europe, S.A.S., Sucursal en España",Entidad de crédito,"PS DE LOS MELANCÓLICOS, 14, 28005, MADRID",No,FR13838,"1546"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES1543,959800N5JHERKXV3TU05,"Cofidis, S.A. Sucursal en España",Entidad de crédito,"PZ DE LA PAU, SN, 08940, CORNELLA DE LLOBREGAT",Sí,FR14940,"1543"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES2056,95980020140006025332,"Colonya - Caixa D'estalvis de Pollensa",Entidad de crédito,"PZ MAYOR, 7, 07460, POLLENÇA",No,,"2056"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES0159,,"Commerzbank Aktiengesellschaft, Sucursal en España",Entidad de crédito,"Ps de la Castellana 259, pl 32, 28046, Madrid",No,DE00003,"0159"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES1459,,"Cooperatieve Rabobank U.A., Sucursal en España",Entidad de crédito,"Cl Rafael Calvo, 39, 28010, Madrid",No,NL600,"1459"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESA88147053,95980081PQB9YPX7XZ48,"CREDIT AGRICOLE CONSUMER FINANCE SPAIN, EFC, S.A.",Otra institución,"AV. MANOTERAS, 44, 28050, MADRID",No,,"8841"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ES0154,,"Crédit Agricole Corporate and Investment Bank, Sucursal en España",Entidad de crédito,"Ps de la Castellana , 1, 28046, Madrid",Sí,FR31489,"0154"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES1472,,"Crédit Agricole Leasing & Factoring, Sucursal en España",Entidad de crédito,"Ps de la Castellana, 1, 28046, Madrid",No,FR16850,"1472"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ES1555,,"Crédit Mutuel Leasing, Sucursal en España",Entidad de crédito,"PS DE LA CASTELLANA, 42, 28046, MADRID",No,FR13070,"1555"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESA79192258,959800TMGPWX7NYM4R72,"Credit Suisse Bank (Europe), S.A.",Entidad de crédito,"CL AYALA, 42 - 3º B, 28001, MADRID",Sí,,"0243"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES6716,959800QLWRN53GRZD457,"Currencies Direct Spain, EDE, SL",Otra institución,"AV DEL MEDITERRANEO 341, 04638, MOJACAR",No,,"6716"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES8842,,"DAIMLER TRUCK FINANCIAL SERVICES ESPAÑA E.F.C., S.A.U.",Otra institución,"AVDA DE BRUSELAS, 30, 28108, ALCOBENDAS",No,,"8842"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES1457,,"De Lage Landen International B.V., Sucursal en España",Entidad de crédito,"CL  JOSE BARDASANO BAOS, 9, 28016, MADRID",No,NL7802,"1457"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES1548,,"Dell Bank International Designated Activity Company, Sucursal en España",Entidad de crédito,"Cl Ribera del Loira, 8, 28042, Madrid",No,IEC92019,"1548"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES0145,,"Deutsche Bank, A.G., Sucursal en España",Entidad de crédito,"Ps de la Castellana, 18, 28046, Madrid",No,DE00001,"0145"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ES0019,529900SICIK5OVMVY186,"Deutsche Bank, Sociedad Anónima Española",Entidad de crédito,"Ps de la Castellana, 18, 28046, Madrid",Sí,,"0019"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ES8826,529900MF50NA8S97G349,"Deutsche Leasing Iberica, E.F.C.,  S.A.",Otra institución,"PZ. EUROPA, 9 Y11, 08908, L' HOSPITALET DE LLOBREGAT",No,,"8826"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES1501,,"Deutsche Pfandbriefbank AG, Sucursal en España",Entidad de crédito,"Cl Montesquinza, 30, 28010, Madrid",No,DE03249,"1501"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ES0211,95980020140005388333,"EBN Banco de Negocios, S.A.",Entidad de crédito,"Ps de Recoletos, 29, 28004, Madrid",No,,"0211"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES1473,,"Edmond de Rothschild (Europe), Sucursal en España",Entidad de crédito,"Ps de la Castellana, 55, 28046, Madrid",No,LUB00172,"1473"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES3081,95980020140005552166,"Eurocaja Rural, Sociedad Cooperativa de Crédito",Entidad de crédito,"Cl Méjico, 2, 45004, Toledo",Sí,,"3081"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES0239,95980020140005375820,"Evo Banco S.A.",Entidad de crédito,"Cl Serrano, 45, 28001, Madrid",Sí,,"0239"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ES0218,95980089WEV4R42T3W78,"FCE Bank Plc Sucursal en España",Entidad de crédito,"CL CALÉNDULA, 13, 28109, ALCOBENDAS",No,GB1190,"0218"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES8308,,"Financiera Carrión, S.A., E.F.C.",Otra institución,"Ps del Pintor Rosales, 4, 28008, Madrid",No,,"8308"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES8805,95980020140005327126,"Financiera El Corte Inglés E.F.C., S.A.",Otra institución,"CL HERMOSILLA, 112, 28009, MADRID",Sí,,"8805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES8823,,"Financiera española de crédito a distancia, E.F.C., S.A.",Otra institución,"Av Fuente de la Mora, 4, 28050, Madrid",No,,"8823"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES6726,,"FINOM PAYMENTS SUCURSAL EN ESPAÑA",Otra institución,"PS DE LA CASTELLANA, 141, 28046, MADRID",No,,"6726"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ES6718,,"FINPAY Entidad de Dineero Electrónico, S.A",Otra institución,"PS DE LA CASTELLANA, 126, 28046, Madrid",No,,"6718"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV44702165,959800YQN93635RPY052,"FONDO NARANJA MONETARIO, FI",Fondo del mercado monetario,"PASEO CASTELLANA 33, 28046, MADRID",Sí,,"FI5769"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ES8839,959800KYA6P1XWHAFX61,"GCC Consumo, EFC, S.A",Otra institución,"Ps de los Melancólicos, 14, 28005, Madrid",No,,"8839"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES1496,,"Genefim, Sucursal en España",Entidad de crédito,"Pz Pablo Ruiz Picasso, 1, 28020, Madrid",No,FR17660,"1496"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES6702,9598009Q36ZSCPSZWT27,"Global Payment Moneytopay, EDE, SL",Otra institución,"AVDA MANOTERAS, 20, 28050, MADRID",No,,"6702"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ES1564,,"Goldman Sachs Bank Europe SE, Sucursal en España",Entidad de crédito,"Cl María de Molina, 6, 28006, Madrid",No,DE05602,"1564"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ES1497,,"Haitong Bank, S.A., Sucursal en España",Entidad de crédito,"Ps de la Castellana, 52, 28046, Madrid",No,PT47,"1497"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES1504,,"Honda Bank GmbH, Sucursal en España",Entidad de crédito,"CL MAR DEL NORD, 1, 08130, SANTA PERPETUA DE MOGODA",No,DE05685,"1504"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0162,,"HSBC Continental Europe, Sucursal en España",Entidad de crédito,"PZ PABLO RUIZ PICASSO SN PL.33. TORRE PICASSO, 28020, MADRID",Sí,FR30056,"0162"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES2085,549300OLBL49CW8CT155,"Ibercaja Banco, S.A.",Entidad de crédito,"Pz D. Basilio Paraíso, 2, 50008, Zaragoza",Sí,,"2085"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
